QuestionText,StudentExplanation,MC_Answer,Category,Misconception,Correctness,row_id,problem_type,tuple_key,Mathematical_Context,Original_Explanation,Mathematical_Context_Reduced,top_1_misconception,top_1_probability,top_2_misconception,top_2_probability,new_misconception
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,I think this because it is part of the threee times table,\( 9 \),['False_Neither'],['Irrelevant'],0,[23166],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'I think this because it is part of the threee times table', '\\( 9 \\)')",,I think this because it is part of the threee times table,,Wrong_fraction,0.12133036,Irrelevant,0.008215239,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,I think this is because i times ALL_UNITS by 38,\( 9 \),['False_Neither'],['Irrelevant'],0,[23168],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'I think this is because i times 24 by 38', '\\( 9 \\)')",,I think this is because i times 24 by 38,,Wrong_fraction,0.006776474,Wrong_Fraction,0.0013218896,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,"So, it has to be COMP_NUM_TIMES_WHOLE_DIV_DEN_SIMP or NUM_TIMES_WHOLE_DIV_DEN_SIMP.",\( 9 \),['False_Neither'],['Irrelevant'],0,[23190],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'So, it has to be 15 or nine.', '\\( 9 \\)')",,"So, it has to be 15 or 9.",,Wrong_fraction,0.44776338,Wrong_Fraction,0.0010360527,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,"So, you need to take off WHOLE_DIV_DEN_SIMP 8ths from ALL_UNITS.",\( 8 \),['False_Neither'],['Irrelevant'],0,[22938],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'So, you need to take off 3 8ths from 24.', '\\( 8 \\)')",,"So, you need to take off 3 8ths from 24.",,Wrong_fraction,0.42877057,Incomplete,0.06418542,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,You first divide by the bottomm then times by top.,\( 9 \),['False_Neither'],['Irrelevant'],0,[23198],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'You first divide by the bottomm then times by top.', '\\( 9 \\)')",,You first divide by the bottomm then times by top.,,Wrong_fraction,0.5719624,No Misconception,0.0035301433,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,You just divided WHOLE_DIV_DEN_SIMP by ALL_UNITS which gives youu FRACTION_DENOMINATOR so that's what you have to do.,\( 8 \),['False_Neither'],['Irrelevant'],0,[22940],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', ""You just divided 3 by 24 which gives youu 8 so that's what you have to do."", '\\( 8 \\)')",,You just divided 3 by 24 which gives youu 8 so that's what you have to do.,,Wrong_fraction,0.14687593,Irrelevant,0.011004677,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,a and d because it says FRACTION of ALL_UNITS so i tried solving for thr remainder which is FRACTION_DENOMINATOR which equals WHOLE_DIV_DEN_SIMP.,\( 8 \),['False_Neither'],['Irrelevant'],0,[22941],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'a and d because it says 3/8 of 24 so i tried solving for thr remainder which is 8 which equals 3.', '\\( 8 \\)')",,a and d because it says 3/8 of 24 so i tried solving for thr remainder which is 8 which equals 3.,,Wrong_fraction,0.5135348,Incomplete,0.0832759,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,b is the correct answer because the numerator x WHOLE_DIV_DEN_SIMP = 0,\( 9 \),['False_Neither'],['Irrelevant'],0,[23207],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'b is the correct answer because the numerator x 3 = 0', '\\( 9 \\)')",,b is the correct answer because the numerator x 3 = 0,,Wrong_fraction,0.46529976,Irrelevant,0.0009461666,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,b is the correct answer because x WHOLE_DIV_DEN_SIMP = 0.,\( 9 \),['False_Neither'],['Irrelevant'],0,[23208],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'b is the correct answer because x 3 = 0.', '\\( 9 \\)')",,b is the correct answer because x 3 = 0.,,Wrong_fraction,0.056741603,Incomplete,0.0011480612,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because WHOLE_DIV_DEN_SIMP / FRACTION_DENOMINATOR of ALL_UNITS is COMP_NUM_TIMES_WHOLE_DIV_DEN_SIMP so the other are NUM_TIMES_WHOLE_DIV_DEN_SIMP.,\( 9 \),['False_Neither'],['Irrelevant'],0,[23236],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because 3 / 8 of 24 is 15 so the other are 9.', '\\( 9 \\)')",,because 3 / 8 of 24 is 15 so the other are 9.,,Wrong_fraction,0.28125727,No Misconception,0.029235555,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because FRACTION_DENOMINATOR/FRACTION_DENOMINATOR is a whole then making the other half FRACTION_DENOMINATOR,\( 8 \),['False_Neither'],['Irrelevant'],0,[22943],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because 8/8 is a whole then making the other half 8', '\\( 8 \\)')",,because 8/8 is a whole then making the other half 8,,Wrong_fraction,0.20310777,Incomplete,0.007063594,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because added that would equal 39 that would equal an FRACTION_DENOMINATOR.,\( 15 \),['True_Neither'],['Irrelevant'],1,[22342],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because added that would equal 39 that would equal an eight.', '\\( 15 \\)')",,because added that would equal 39 that would equal an 8.,,No Misconception,0.3136068,Wrong_fraction,0.010573641,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because divided ALL_UNITS into FRACTION_DENOMINATOR and add by WHOLE_DIV_DEN_SIMP,\( 9 \),['False_Neither'],['Irrelevant'],0,[23244],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because divided 24 into 8  and add by three', '\\( 9 \\)')",,because divided 24 into 8 and add by 3,,Wrong_fraction,0.6688876,Incomplete,0.08320771,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because half of ALL_UNITS is 12 and halve of 12 is 6 so you’re dividing it by WHOLE_DIV_DEN_SIMP and it says WHOLE_DIV_DEN_SIMP FRACTION_DENOMINATOR and that is WHOLE_DIV_DEN_SIMP eghts,\( 3 \),['False_Neither'],['Irrelevant'],0,[22902],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because half of 24 is 12 and halve of 12 is 6 so you’re dividing it by three and it says 3 8 and that is 3 eghts', '\\( 3 \\)')",,because half of 24 is 12 and halve of 12 is 6 so you’re dividing it by 3 and it says 3 8 and that is 3 eghts,,Wrong_fraction,0.45351112,Incomplete,0.02203075,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,"because i did ALL_UNITS divided by FRACTION_DENOMINATOR which is WHOLE_DIV_DEN_SIMP, then counted in WHOLE_DIV_DEN_SIMP's from WHOLE_DIV_DEN_SIMP up to FRACTION_DENOMINATOR",\( 15 \),['True_Neither'],['Irrelevant'],1,[22348],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', ""because i did 24 divided by 8 which is 3, then counted in 3's from 3 up to 8"", '\\( 15 \\)')",,"because i did 24 divided by 8 which is 3, then counted in 3's from 3 up to 8",,No Misconception,0.22583391,Wrong_fraction,0.16521221,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because i did it in my workbook,\( 15 \),['True_Neither'],['Irrelevant'],1,[22354],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because i did it in my workbook', '\\( 15 \\)')",,because i did it in my workbook,,No Misconception,0.6256715,Other,0.011923749,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because i did the WHOLE_DIV_DEN_SIMP times tables and i got that,\( 15 \),['True_Neither'],['Irrelevant'],1,[22355],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because i did the three times tables and i got that', '\\( 15 \\)')",,because i did the 3 times tables and i got that,,Wrong_fraction,0.23317084,No Misconception,0.11226921,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because i got it wrong last time,\( 8 \),['False_Neither'],['Other'],0,[22944],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because i got it wrong last time', '\\( 8 \\)')",,because i got it wrong last time,,Other,0.06931438,No Misconception,0.004002817,['Other']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because i halved it and quartered it,\( 9 \),['False_Neither'],['Irrelevant'],0,[23247],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because i halved it and quartered it', '\\( 9 \\)')",,because i halved it and quartered it,,Wrong_fraction,0.16930223,Incomplete,0.0014174309,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because i know how many are left so then i know the answer its as easy as that.,\( 15 \),['True_Neither'],['Irrelevant'],1,[22359],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because i know how many are left so then i know the answer its as easy as that.', '\\( 15 \\)')",,because i know how many are left so then i know the answer its as easy as that.,,No Misconception,0.0027523087,Irrelevant,0.001803308,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because i know this one is correct because i worked it out in my head.,\( 15 \),['True_Neither'],['Irrelevant'],1,[22360],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because i know this one is correct because i worked it out in my head.', '\\( 15 \\)')",,because i know this one is correct because i worked it out in my head.,,No Misconception,0.13049957,Irrelevant,0.038982242,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because i worked it out on a piece of paper,\( 8 \),['False_Neither'],['Other'],0,[22945],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because i worked it out on a piece of paper', '\\( 8 \\)')",,because i worked it out on a piece of paper,,Other,0.022436311,No Misconception,0.0019568,['Other']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because if you divide24 by WHOLE_DIV_DEN_SIMP you get FRACTION_DENOMINATOR,\( 8 \),['False_Neither'],['Irrelevant'],0,[22946],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because if you divide24 by 3 you get 8', '\\( 8 \\)')",,because if you divide24 by 3 you get 8,,Incomplete,0.27739075,Wrong_fraction,0.17569515,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because if you do it then you will get the answer.,\( 15 \),['True_Neither'],['Irrelevant'],1,[22369],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because if you do it then you will get the answer.', '\\( 15 \\)')",,because if you do it then you will get the answer.,,No Misconception,0.644623,Irrelevant,0.00015000023,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because it cant be WHOLE_DIV_DEN_SIMP because that is to small so it has to be COMP_NUM_TIMES_WHOLE_DIV_DEN_SIMP or NUM_TIMES_WHOLE_DIV_DEN_SIMP.,\( 9 \),['False_Neither'],['Irrelevant'],0,[23251],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because it cant be three because that is to small so it has to be 15 or nine.', '\\( 9 \\)')",,because it cant be 3 because that is to small so it has to be 15 or 9.,,Wrong_fraction,0.1914577,No Misconception,0.0013890046,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because it is a little under,\( 9 \),['False_Neither'],['Irrelevant'],0,[23252],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because it is a little under', '\\( 9 \\)')",,because it is a little under,,Wrong_fraction,0.020515338,No Misconception,0.0041148546,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because it is slightly under.,\( 9 \),['False_Neither'],['Irrelevant'],0,[23253],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because it is slightly under.', '\\( 9 \\)')",,because it is slightly under.,,Irrelevant,0.053814854,Wrong_fraction,0.016318843,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because it needs to be the biggest possible answer,\( 15 \),['True_Neither'],['Irrelevant'],1,[22377],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because it needs to be the biggest possible answer', '\\( 15 \\)')",,because it needs to be the biggest possible answer,,No Misconception,0.52482617,Other,0.00035413355,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because it uses division and multiplicationn that is simple.,\( 8 \),['False_Neither'],['Irrelevant'],0,[22947],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because it uses division and multiplicationn that is simple.', '\\( 8 \\)')",,because it uses division and multiplicationn that is simple.,,Irrelevant,0.23336948,Wrong_fraction,0.0040764227,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because it’s simple division and multiplication,\( 8 \),['False_Neither'],['Irrelevant'],0,[22948],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because it’s simple division and multiplication', '\\( 8 \\)')",,because it’s simple division and multiplication,,Wrong_fraction,0.075525545,Irrelevant,0.0059240367,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because our table worked it out using the bar method,\( 9 \),['False_Neither'],['Irrelevant'],0,[23258],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because our table worked it out using the bar method', '\\( 9 \\)')",,because our table worked it out using the bar method,,Wrong_fraction,0.0011822123,Other,0.0005748519,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because that's how many numerators are left,\( 9 \),['False_Neither'],['Irrelevant'],0,[23259],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', ""because that's how many numerators are left"", '\\( 9 \\)')",,because that's how many numerators are left,,Wrong_fraction,0.6667882,Other,0.0024701145,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because that's how many numerators are left.,\( 9 \),['False_Neither'],['Irrelevant'],0,[23260],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', ""because that's how many numerators are left."", '\\( 9 \\)')",,because that's how many numerators are left.,,Wrong_fraction,0.59335834,Irrelevant,0.034347918,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because the yellow and green balls are equal,\( 3 \),['False_Neither'],['Other'],0,[22903],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because the yellow and green balls are equal', '\\( 3 \\)')",,because the yellow and green balls are equal,,Other,0.0066291355,Base_rate,0.004019644,['Other']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because the yellow and green balls are equal.,\( 3 \),['False_Neither'],['Irrelevant'],0,[22904],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because the yellow and green balls are equal.', '\\( 3 \\)')",,because the yellow and green balls are equal.,,Wrong_fraction,0.045910303,Irrelevant,0.010116335,['Irrelevant']
A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,because there are ALL_UNITS yellow and green balls,\( 15 \),['True_Neither'],['Irrelevant'],1,[22390],4,"('A bag contains \\( 24 \\) yellow and green balls. \\( \\frac{3}{8} \\) of the balls are yellow. How many of the balls are green?', 'because there are 24 yellow and green balls', '\\( 15 \\)')",,because there are 24 yellow and green balls,,No Misconception,0.17990838,Wrong_fraction,0.04307419,['Irrelevant']
